cell	model	class	length_param	length_value	length_unit	template
delay_t1ms	delay	NAxoneDelay	DelayTime	0.001	s	delay
delay_t2ms	delay	NAxoneDelay	DelayTime	0.002	s	delay
delay_t5ms	delay	NAxoneDelay	DelayTime	0.005	s	delay
delay_t10ms	delay	NAxoneDelay	DelayTime	0.01	s	delay
delay_t20ms	delay	NAxoneDelay	DelayTime	0.02	s	delay
chain_n1	chain	NAxoneChain	NumSegments	1	count	chain
chain_n2	chain	NAxoneChain	NumSegments	2	count	chain
chain_n3	chain	NAxoneChain	NumSegments	3	count	chain
chain_n5	chain	NAxoneChain	NumSegments	5	count	chain
chain_n7	chain	NAxoneChain	NumSegments	7	count	chain
cad_n1	cad	NAxoneChainAndDelay	NumNodes	1	count	chain_and_delay
cad_n2	cad	NAxoneChainAndDelay	NumNodes	2	count	chain_and_delay
cad_n3	cad	NAxoneChainAndDelay	NumNodes	3	count	chain_and_delay
cad_n4	cad	NAxoneChainAndDelay	NumNodes	4	count	chain_and_delay
cad_n5	cad	NAxoneChainAndDelay	NumNodes	5	count	chain_and_delay
