cell,model,class,length_param,length_value,lag_s,lag_ms,t_gen0,t_axon0,n_spikes_gen,n_spikes_axon,ok,error
cad_n1,cad,NAxoneChainAndDelay,NumNodes,1,0.0005,0.5,0.0,0.0005,5,5,1,
cad_n2,cad,NAxoneChainAndDelay,NumNodes,2,0.0035,3.5,0.0,0.0035,5,5,1,
cad_n3,cad,NAxoneChainAndDelay,NumNodes,3,0.0065,6.5,0.0,0.0065,5,5,1,
cad_n4,cad,NAxoneChainAndDelay,NumNodes,4,0.0095,9.5,0.0,0.0095,5,5,1,
cad_n5,cad,NAxoneChainAndDelay,NumNodes,5,0.0125,12.5,0.0,0.0125,5,5,1,
chain_n1,chain,NAxoneChain,NumSegments,1,0.0005,0.5,0.0,0.0005,5,5,1,
chain_n2,chain,NAxoneChain,NumSegments,2,0.001,1.0,0.0,0.001,5,5,1,
chain_n3,chain,NAxoneChain,NumSegments,3,0.0015,1.5,0.0,0.0015,5,5,1,
chain_n5,chain,NAxoneChain,NumSegments,5,0.0025,2.5,0.0,0.0025,5,5,1,
chain_n7,chain,NAxoneChain,NumSegments,7,0.0035,3.5,0.0,0.0035,5,5,1,
delay_t10ms,delay,NAxoneDelay,DelayTime,0.01,0.0105,10.5,0.0,0.0105,5,5,1,
delay_t1ms,delay,NAxoneDelay,DelayTime,0.001,0.0015,1.5,0.0,0.0015,5,5,1,
delay_t20ms,delay,NAxoneDelay,DelayTime,0.02,0.0205,20.5,0.0,0.0205,5,5,1,
delay_t2ms,delay,NAxoneDelay,DelayTime,0.002,0.0025,2.5,0.0,0.0025,5,5,1,
delay_t5ms,delay,NAxoneDelay,DelayTime,0.005,0.0055,5.5,0.0,0.0055,5,5,1,
