exp,n,ok_legacy,ok_strict,ok_audit,acc_legacy,acc_strict,fire_all_legacy,fire_all_strict,late_fp,late_fn,response_quality,n_burst,n_per_stim,max_spikes,mode_legacy,csv
SelectivityBranch/EXP_br_span25_packA_gen_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span25_packA_gen_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span50_packA_gen_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span50_packA_gen_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span100_packA_gen_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span100_packA_gen_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span25_packA_preinh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span25_packA_preinh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span50_packA_preinh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span50_packA_preinh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span100_packA_preinh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span100_packA_preinh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span25_packA_nextseginh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span25_packA_nextseginh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span50_packA_nextseginh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span50_packA_nextseginh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span100_packA_nextseginh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span100_packA_nextseginh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span25_packB_gen_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span25_packB_gen_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span25_packB_preinh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span25_packB_preinh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span50_packB_gen_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span50_packB_gen_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span50_packB_preinh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span50_packB_preinh_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span100_packB_gen_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span100_packB_gen_C1e9/Test/SelectivityLog/results.csv
SelectivityBranch/EXP_br_span100_packB_preinh_C1e9/Test,8,1,1,1,8,8,0,0,0,0,ok_single,0,0,0,selective,SelectivityBranch/EXP_br_span100_packB_preinh_C1e9/Test/SelectivityLog/results.csv
