exp,n,ok_legacy,ok_strict,ok_audit,acc_legacy,acc_strict,fire_all_legacy,fire_all_strict,late_fp,late_fn,response_quality,n_burst,n_per_stim,max_spikes,mode_legacy,csv
SelectivityAsymRm/EXP_span100ms_packA_gen/Test,5,0,0,0,1,1,1,1,0,0,per_stim,0,5,4,fire_all,SelectivityAsymRm/EXP_span100ms_packA_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packA_gen_Dspan/Test,5,0,0,0,1,1,1,1,0,0,mixed,5,5,16,fire_all,SelectivityAsymRm/EXP_span100ms_packA_gen_Dspan/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packA_preinh/Test,5,0,0,0,1,1,1,1,0,0,per_stim,0,5,4,fire_all,SelectivityAsymRm/EXP_span100ms_packA_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packB_gen/Test,5,0,0,0,1,1,1,1,0,0,mixed,1,5,4,fire_all,SelectivityAsymRm/EXP_span100ms_packB_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packB_preinh/Test,5,0,0,0,1,1,1,1,0,0,per_stim,0,4,4,fire_all,SelectivityAsymRm/EXP_span100ms_packB_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packC_gen/Test,5,0,0,0,1,1,1,1,0,0,mixed,5,5,8,fire_all,SelectivityAsymRm/EXP_span100ms_packC_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packC_gen_ampaudit/Test,6,0,0,0,1,1,1,1,0,0,mixed,6,6,8,fire_all,SelectivityAsymRm/EXP_span100ms_packC_gen_ampaudit/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span100ms_packC_preinh/Test,6,0,0,0,1,1,1,1,0,0,mixed,6,6,8,fire_all,SelectivityAsymRm/EXP_span100ms_packC_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span25ms_packA_gen/Test,8,1,1,1,6,6,0,0,0,0,ok_single,0,0,1,selective,SelectivityAsymRm/EXP_span25ms_packA_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span25ms_packA_preinh/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,3,2,fire_all,SelectivityAsymRm/EXP_span25ms_packA_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span25ms_packB_gen/Test,8,0,0,0,1,1,1,1,0,0,mixed,4,8,4,fire_all,SelectivityAsymRm/EXP_span25ms_packB_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span25ms_packB_preinh/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,5,4,fire_all,SelectivityAsymRm/EXP_span25ms_packB_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span25ms_packC_gen/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,5,4,fire_all,SelectivityAsymRm/EXP_span25ms_packC_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span25ms_packC_preinh/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,5,3,fire_all,SelectivityAsymRm/EXP_span25ms_packC_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packA_gen/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityAsymRm/EXP_span50ms_packA_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packA_gen_Dspan/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityAsymRm/EXP_span50ms_packA_gen_Dspan/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packA_preinh/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,6,4,fire_all,SelectivityAsymRm/EXP_span50ms_packA_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packB_gen/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,7,4,fire_all,SelectivityAsymRm/EXP_span50ms_packB_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packB_preinh/Test,3,0,0,0,2,2,0,0,0,0,ok_single,0,0,0,silent,SelectivityAsymRm/EXP_span50ms_packB_preinh/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packC_gen/Test,3,0,0,0,1,1,1,1,0,0,per_stim,0,3,4,fire_all,SelectivityAsymRm/EXP_span50ms_packC_gen/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packC_gen_ampaudit/Test,4,0,0,0,1,1,1,1,0,0,per_stim,0,4,4,fire_all,SelectivityAsymRm/EXP_span50ms_packC_gen_ampaudit/Test/SelectivityLog/results.csv
SelectivityAsymRm/EXP_span50ms_packC_preinh/Test,4,0,0,0,1,1,1,1,0,0,per_stim,0,3,4,fire_all,SelectivityAsymRm/EXP_span50ms_packC_preinh/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXP00CtrlExp04/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,16,fire_all,SelectivityFastResponse/EXP00CtrlExp04/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD001C1e9/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityFastResponse/EXPD001C1e9/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD001C25e11/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,6,4,fire_all,SelectivityFastResponse/EXPD001C25e11/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD001C5e10/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,16,fire_all,SelectivityFastResponse/EXPD001C5e10/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD002C1e9/Test,7,0,0,0,6,6,0,0,0,0,ok_single,0,0,0,silent,SelectivityFastResponse/EXPD002C1e9/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD002C25e11/Test,8,0,0,0,1,1,1,1,0,0,mixed,2,8,16,fire_all,SelectivityFastResponse/EXPD002C25e11/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD002C5e10/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,15,fire_all,SelectivityFastResponse/EXPD002C5e10/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD005C25e11/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,16,fire_all,SelectivityFastResponse/EXPD005C25e11/Test/SelectivityLog/results.csv
SelectivityFastResponse/EXPD005C5e10/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,16,fire_all,SelectivityFastResponse/EXPD005C5e10/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span100ms_fast/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,13,fire_all,SelectivityFastSpan/EXP_span100ms_fast/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span100ms_fast_preinh/Test,8,0,0,0,1,1,1,1,0,0,mixed,6,8,16,fire_all,SelectivityFastSpan/EXP_span100ms_fast_preinh/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span25ms_fast/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,7,4,fire_all,SelectivityFastSpan/EXP_span25ms_fast/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span25ms_fast_preinh/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,5,fire_all,SelectivityFastSpan/EXP_span25ms_fast_preinh/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span25ms_fast_preinh_ts10k/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityFastSpan/EXP_span25ms_fast_preinh_ts10k/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span25ms_fast_ts10k/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityFastSpan/EXP_span25ms_fast_ts10k/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span50ms_fast/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,6,fire_all,SelectivityFastSpan/EXP_span50ms_fast/Test/SelectivityLog/results.csv
SelectivityFastSpan/EXP_span50ms_fast_preinh/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,7,fire_all,SelectivityFastSpan/EXP_span50ms_fast_preinh/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_gen/Test,2,0,0,0,1,1,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_preinh/Test,2,0,0,0,1,1,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_preinh/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_gen/Test,8,1,1,1,6,6,0,0,0,0,ok_single,0,0,1,selective,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_preinh/Test,2,0,0,0,1,1,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_preinh/Test/SelectivityLog/results.csv
