campaign,exp,trainer,mid_metric,recipe_tiprmin,recipe_c1e9_neuron,gate_n,ok_audit,acc_strict,mode,response_quality,last_pulse_ok,csv_complete,structural_fails,orphan_class,status,n_trials,has_train,has_test,has_learner
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packA_gen,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packA_gen_Dspan,TimeLearner,ltz_potential_max,0,0,5,0,1,fire_all,mixed,0,0,csv_n=5,diag,FAIL,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packA_preinh,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packB_gen,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packB_preinh,TimeLearner,ltz_potential_max,0,1,5,0,1,fire_all,per_stim,1,0,csv_n=5,orphan,FAIL,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packB_preinh_C1e9,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_gen,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_gen_ampaudit,TimeLearner,ltz_potential_max,0,0,6,0,1,fire_all,mixed,0,0,csv_n=6,diag,FAIL,6,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_preinh,TimeLearner,ltz_potential_max,0,1,6,0,1,fire_all,mixed,0,0,csv_n=6,orphan,FAIL,6,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_preinh_C1e9,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packA_gen,TimeLearner,ltz_potential_max,0,1,8,1,8,selective,ok_single,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packA_preinh,TimeLearner,ltz_potential_max,0,1,8,1,8,selective,ok_single,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packB_gen,TimeLearner,ltz_potential_max,0,1,8,1,8,selective,ok_single,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packB_preinh,TimeLearner,ltz_potential_max,0,1,8,0,1,fire_all,per_stim,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packB_preinh_C1e9,TimeLearner,ltz_potential_max,0,1,8,1,8,selective,ok_single,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packC_gen,TimeLearner,ltz_potential_max,0,1,8,1,8,selective,ok_single,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packC_preinh,TimeLearner,ltz_potential_max,0,1,8,0,1,fire_all,per_stim,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packC_preinh_C1e9,TimeLearner,ltz_potential_max,0,1,8,1,8,selective,ok_single,1,1,,orphan,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packA_gen,TimeLearner,ltz_potential_max,1,1,8,1,8,selective,ok_single,1,1,,covered,PASS,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packA_gen_Dspan,TimeLearner,ltz_potential_max,0,0,8,0,1,fire_all,per_stim,0,1,,diag,PASS,8,1,1,1
