campaign,exp,status,fails,notes,n_trials,has_train,has_test,has_learner
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packA_gen,FAIL,csv_n=5,,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packA_gen_Dspan,FAIL,csv_n=5,,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packA_preinh,FAIL,csv_n=5,,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packB_gen,FAIL,csv_n=5,,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packB_preinh,FAIL,csv_n=5,,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_gen,FAIL,csv_n=5,,5,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_gen_ampaudit,FAIL,csv_n=6,,6,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span100ms_packC_preinh,FAIL,csv_n=6,,6,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packA_gen,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packA_preinh,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packB_gen,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packB_preinh,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packC_gen,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span25ms_packC_preinh,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packA_gen,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packA_gen_Dspan,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packA_preinh,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packB_gen,PASS,,,8,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packB_preinh,FAIL,csv_n=3,,3,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packC_gen,FAIL,csv_n=3,,3,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packC_gen_ampaudit,FAIL,csv_n=4,,4,1,1,1
SelectivityAsymRm,SelectivityAsymRm/EXP_span50ms_packC_preinh,FAIL,csv_n=4,,4,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXP00CtrlExp04,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD001C1e9,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD001C25e11,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD001C5e10,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD002C1e9,FAIL,csv_n=7,,7,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD002C25e11,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD002C5e10,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD005C25e11,PASS,,,8,1,1,1
SelectivityFastResponse,SelectivityFastResponse/EXPD005C5e10,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span100ms_fast,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span100ms_fast_preinh,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span25ms_fast,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span25ms_fast_preinh,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span25ms_fast_preinh_ts10k,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span25ms_fast_ts10k,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span50ms_fast,PASS,,,8,1,1,1
SelectivityFastSpan,SelectivityFastSpan/EXP_span50ms_fast_preinh,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_gen,FAIL,csv_n=2,,2,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span100ms_packA_preinh,FAIL,csv_n=2,,2,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span25ms_packA_preinh,FAIL,csv_n=2,,2,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_gen,FAIL,csv_n=2,,2,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_preinh,FAIL,csv_n=2,,2,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_preinh,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_preinh,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_preinh,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/BranchFastSpan/EXP_branch_span100_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/BranchFastSpan/EXP_branch_span25_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span100ms_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span100ms_preinh25,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span25ms_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span25ms_preinh25,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span50ms_gen,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span50ms_preinh25,PASS,,,8,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/RegressionFull480/EXP_baseline_gen,FAIL,csv_n=5,,5,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/RegressionFull480/EXP_baseline_preinh25,FAIL,csv_n=5,,5,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/_smoke_sync/EXP00_smoke,FAIL,csv_n=7,,7,1,1,1
SelectivityLtzCalibrate,SelectivityLtzCalibrate/_smoke_sync/EXP04_smoke,FAIL,csv_n=7,,7,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP00_baseline,PASS,,,8,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP01_ltz_threshold_sweep,PASS,,,8,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP02_ltzone_average_mode,PASS,,,8,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP03_sync_tolerance_015,PASS,,,8,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP04_sync_tolerance_010,FAIL,csv_n=7,,7,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP05_resistance_gain_025,FAIL,csv_n=7,,7,1,1,1
SelectivityPhaseA,SelectivityPhaseA/EXP06_ltzone_integration,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP00_baseline,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP00_baseline_autothr,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP00_baseline_margprops,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP01_preinh_050,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP01_preinh_050_autothr,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP02_preinh_100,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP02_preinh_100_autothr,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP02_preinh_100_gui_autothr,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP03_preinh_200,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP03_preinh_200_autothr,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP04_preinh_250,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP04_preinh_250_margprops,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP04_preinh_250_recheck,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP05_preinh_300,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP06_preinh_400,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP07_preinh_500,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP08_preinh_600,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP09_preinh_1000,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP10_preinh_180,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP11_preinh_210,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP12_preinh_220,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP13_preinh_240,FAIL,csv_n=7,,7,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP14_preinh_260,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP15_preinh_270,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP20_span100ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP21_span100ms_preinh250,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP22_span50ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP23_span50ms_preinh250,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP24_span25ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP25_span25ms_preinh250,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP26_span10ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP27_span10ms_preinh250,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP30_span200ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP31_span200ms_preinh250,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP32_span300ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP33_span300ms_preinh250,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP34_span400ms_baseline,PASS,,,8,1,1,1
SelectivityPresynapticInhib,SelectivityPresynapticInhib/EXP35_span400ms_preinh250,PASS,,,8,1,1,1
TimeNeuronTimeLearner,TimeNeuronTimeLearner,PASS,,,8,1,1,1
TimeNeuronTimeLearnerBranch,TimeNeuronTimeLearnerBranch,PASS,,,8,1,1,1
TimeNeuronTimeLearnerBranch_NextSegInh,TimeNeuronTimeLearnerBranch_NextSegInh,PASS,,,8,1,1,1
TimeNeuronTimeLearnerBranch_PreInh250,TimeNeuronTimeLearnerBranch_PreInh250,PASS,,,8,1,1,1
