exp,verdict,EstDelayPerSeg,L_target,L_actual,delta_L,iter_budget_required,iter_count,GTS,IsNeedToTrain
EXP_span100ms_packA_gen,TIMING_MISMATCH,0.005,21 18 11 1,21 17 11 1,0 -1 0 0,19,,20000,0
EXP_span100ms_packA_preinh,TIMING_MISMATCH,0.005,21 18 11 1,21 17 11 1,0 -1 0 0,19,,20000,0
EXP_span50ms_packA_gen,SYNC_OK,0.005000003,11 9 6 1,11 9 7 1,0 0 1 0,10,,20000,0
EXP_span50ms_packA_preinh,SYNC_OK,0.005000003,11 9 6 1,11 9 6 1,0 0 0 0,10,,20000,0
EXP_span25ms_packA_gen,SYNC_OK,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,20000,0
EXP_span25ms_packA_preinh,SYNC_OK,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,20000,0
EXP_span100ms_packB_gen,SYNC_OK,0.005263157894736842,20 17 11 1,20 17 10 1,0 0 -1 0,19,,20000,0
EXP_span100ms_packB_preinh,SYNC_OK,0.005263157894736842,20 17 11 1,20 17 10 1,0 0 -1 0,19,,20000,0
EXP_span50ms_packB_gen,SYNC_OK,0.005000003,11 9 6 1,11 9 7 1,0 0 1 0,10,,20000,0
EXP_span50ms_packB_preinh,SYNC_OK,0.005000003,11 9 6 1,11 9 6 1,0 0 0 0,10,,20000,0
EXP_span25ms_packB_gen,SYNC_OK,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,20000,0
EXP_span25ms_packB_preinh,SYNC_OK,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,20000,0
EXP_span100ms_packC_preinh,SYNC_OK,0.005263157894736842,20 17 11 1,20 17 10 1,0 0 -1 0,19,,20000,0
EXP_span50ms_packC_preinh,SYNC_OK,0.005000003,11 9 6 1,11 9 6 1,0 0 0 0,10,,20000,0
EXP_span25ms_packC_gen,SYNC_OK,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,20000,0
EXP_span25ms_packC_preinh,SYNC_OK,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,20000,0
