exp	neuron	span_ms	kind	pack	cap	exc_rm	exc_rsyn
EXP_span100ms_packA_gen	NSPNeuronGenAsymRmD001C25e12	100	gen	A	2.5e-11	1e7	8.6e7
EXP_span100ms_packA_preinh	NSPNeuronGenPreinh2_5AsymRmD001C25e12	100	preinh	A	2.5e-11	1e7	8.6e7
EXP_span50ms_packA_gen	NSPNeuronGenAsymRmD001C25e12	50	gen	A	2.5e-11	1e7	8.6e7
EXP_span50ms_packA_preinh	NSPNeuronGenPreinh2_5AsymRmD001C25e12	50	preinh	A	2.5e-11	1e7	8.6e7
EXP_span25ms_packA_gen	NSPNeuronGenAsymRmD001C25e12	25	gen	A	2.5e-11	1e7	8.6e7
EXP_span25ms_packA_preinh	NSPNeuronGenPreinh2_5AsymRmD001C25e12	25	preinh	A	2.5e-11	1e7	8.6e7
EXP_span100ms_packB_gen	NSPNeuronGenAsymRmD001C1e11	100	gen	B	1e-11	1e7	5e7
EXP_span100ms_packB_preinh	NSPNeuronGenPreinh2_5AsymRmD001C1e11	100	preinh	B	1e-11	1e7	5e7
EXP_span50ms_packB_gen	NSPNeuronGenAsymRmD001C1e11	50	gen	B	1e-11	1e7	5e7
EXP_span50ms_packB_preinh	NSPNeuronGenPreinh2_5AsymRmD001C1e11	50	preinh	B	1e-11	1e7	5e7
EXP_span25ms_packB_gen	NSPNeuronGenAsymRmD001C1e11	25	gen	B	1e-11	1e7	5e7
EXP_span25ms_packB_preinh	NSPNeuronGenPreinh2_5AsymRmD001C1e11	25	preinh	B	1e-11	1e7	5e7
EXP_span100ms_packC_gen	NSPNeuronGenAsymRmD001C25e12Rm5e6	100	gen	C	2.5e-11	5e6	8.6e7
EXP_span100ms_packC_preinh	NSPNeuronGenPreinh2_5AsymRmD001C25e12Rm5e6	100	preinh	C	2.5e-11	5e6	8.6e7
EXP_span50ms_packC_gen	NSPNeuronGenAsymRmD001C25e12Rm5e6	50	gen	C	2.5e-11	5e6	8.6e7
EXP_span50ms_packC_preinh	NSPNeuronGenPreinh2_5AsymRmD001C25e12Rm5e6	50	preinh	C	2.5e-11	5e6	8.6e7
EXP_span25ms_packC_gen	NSPNeuronGenAsymRmD001C25e12Rm5e6	25	gen	C	2.5e-11	5e6	8.6e7
EXP_span25ms_packC_preinh	NSPNeuronGenPreinh2_5AsymRmD001C25e12Rm5e6	25	preinh	C	2.5e-11	5e6	8.6e7
