exp	neuron	span_ms	kind	pack	cap	exc_rm	exc_rsyn
EXP_span50ms_packC_gen_ampaudit	NSPNeuronGenAsymRmD001C25e12Rm5e6	50	gen	C	2.5e-11	5e6	8.6e7
EXP_span100ms_packC_gen_ampaudit	NSPNeuronGenAsymRmD001C25e12Rm5e6	100	gen	C	2.5e-11	5e6	8.6e7
EXP_span50ms_packA_gen_Dspan	NSPNeuronGenAsymRmD001C25e12	50	gen	A	2.5e-11	1e7	8.6e7
EXP_span100ms_packA_gen_Dspan	NSPNeuronGenAsymRmD001C25e12	100	gen	A	2.5e-11	1e7	8.6e7
EXP_span25ms_packB_preinh_C1e9	NSPNeuronGenPreinh2_5AsymRmD001C1e9	25	preinh	A	1e-9	1e7	8.6e7
EXP_span25ms_packC_preinh_C1e9	NSPNeuronGenPreinh2_5AsymRmD001C1e9	25	preinh	A	1e-9	1e7	8.6e7
EXP_span50ms_packB_preinh_C1e9	NSPNeuronGenPreinh2_5AsymRmD001C1e9	50	preinh	A	1e-9	1e7	8.6e7
EXP_span50ms_packC_preinh_C1e9	NSPNeuronGenPreinh2_5AsymRmD001C1e9	50	preinh	A	1e-9	1e7	8.6e7
EXP_span100ms_packB_preinh_C1e9	NSPNeuronGenPreinh2_5AsymRmD001C1e9	100	preinh	A	1e-9	1e7	8.6e7
EXP_span100ms_packC_preinh_C1e9	NSPNeuronGenPreinh2_5AsymRmD001C1e9	100	preinh	A	1e-9	1e7	8.6e7
