exp,neuron,span_ms,kind,pack,acc,fn,fp,fires,mode,gate,target_hit,L,FixedLTZ,stall_blocker,L_target,iter_count
EXP_span100ms_packA_gen,NSPNeuronGenAsymRmD001C25e12,100,gen,A,1/8,0,7,8,fire_all,0,1,21 17 11 1,0.10000000000000001,AMP_OSCILLATION,20 17 10 1,None
EXP_span100ms_packA_preinh,NSPNeuronGenPreinh2_5AsymRmD001C25e12,100,preinh,A,1/8,0,7,8,fire_all,0,1,21 17 11 1,0.053669707183727731,AMP_OSCILLATION,20 17 10 1,None
EXP_span50ms_packA_gen,NSPNeuronGenAsymRmD001C25e12,50,gen,A,1/8,0,7,8,fire_all,0,1,11 9 7 1,0.10000000000000001,DONE,11 9 7 1,None
EXP_span50ms_packA_preinh,NSPNeuronGenPreinh2_5AsymRmD001C25e12,50,preinh,A,1/8,0,7,8,fire_all,0,1,11 9 6 1,0.068065404222383316,DONE,11 9 6 1,None
EXP_span25ms_packA_gen,NSPNeuronGenAsymRmD001C25e12,25,gen,A,6/8,0,2,3,partial_FA,1,1,6 5 4 1,0.08694018649194768,DONE,6 5 4 1,None
EXP_span25ms_packA_preinh,NSPNeuronGenPreinh2_5AsymRmD001C25e12,25,preinh,A,1/8,0,7,8,fire_all,0,1,6 5 4 1,0.051592749058011339,DONE,6 5 4 1,None
EXP_span100ms_packB_gen,NSPNeuronGenAsymRmD001C1e11,100,gen,B,1/8,0,7,8,fire_all,0,1,20 17 10 1,0.10000000000000001,AMP_OSCILLATION,20 17 10 1,None
EXP_span100ms_packB_preinh,NSPNeuronGenPreinh2_5AsymRmD001C1e11,100,preinh,B,1/8,0,7,8,fire_all,0,1,20 17 10 1,0.076742567510508591,AMP_OSCILLATION,20 17 10 1,None
EXP_span50ms_packB_gen,NSPNeuronGenAsymRmD001C1e11,50,gen,B,1/8,0,7,8,fire_all,0,1,11 9 7 1,0.089877161509392345,AMP_OSCILLATION,11 9 7 1,None
EXP_span50ms_packB_preinh,NSPNeuronGenPreinh2_5AsymRmD001C1e11,50,preinh,B,7/8,1,0,0,silent,0,0,11 9 6 1,0.056953387388589662,DONE,11 9 6 1,None
EXP_span25ms_packB_gen,NSPNeuronGenAsymRmD001C1e11,25,gen,B,1/8,0,7,8,fire_all,0,1,6 5 4 1,0.10000000000000001,AMP_OSCILLATION,6 5 4 1,None
EXP_span25ms_packB_preinh,NSPNeuronGenPreinh2_5AsymRmD001C1e11,25,preinh,B,1/8,0,7,8,fire_all,0,1,6 5 4 1,0.057532812542344297,AMP_OSCILLATION,6 5 4 1,None
EXP_span100ms_packC_preinh,NSPNeuronGenPreinh2_5AsymRmD001C25e12Rm5e6,100,preinh,C,1/8,0,7,8,fire_all,0,1,20 17 10 1,0.10000000000000001,AMP_OSCILLATION,20 17 10 1,None
EXP_span50ms_packC_preinh,NSPNeuronGenPreinh2_5AsymRmD001C25e12Rm5e6,50,preinh,C,1/8,0,7,8,fire_all,0,1,11 9 6 1,0.034589821741626198,DONE,11 9 6 1,None
EXP_span25ms_packC_gen,NSPNeuronGenAsymRmD001C25e12Rm5e6,25,gen,C,1/8,0,7,8,fire_all,0,1,6 5 4 1,0.086263157203758545,AMP_OSCILLATION,6 5 4 1,None
EXP_span25ms_packC_preinh,NSPNeuronGenPreinh2_5AsymRmD001C25e12Rm5e6,25,preinh,C,1/8,0,7,8,fire_all,0,1,6 5 4 1,0.036886548135291117,AMP_OSCILLATION,6 5 4 1,None
