exp,blocker,feasibility_verdict,L_actual,L_target,EstDelayPerSeg,iter_count,iter_budget_required,IsNeedToTrain,FixedLTZ,log_status
EXP_span100ms_packA_gen,AMP_OSCILLATION,TIMING_MISMATCH,21 17 11 1,20 17 10 1,0.005,,19,0,0.10000000000000001,unknown
EXP_span100ms_packA_preinh,AMP_OSCILLATION,TIMING_MISMATCH,21 17 11 1,20 17 10 1,0.005,,19,0,0.053669707183727731,unknown
EXP_span100ms_packB_gen,AMP_OSCILLATION,SYNC_OK,20 17 10 1,20 17 10 1,0.005263157894736842,,19,0,0.10000000000000001,unknown
EXP_span100ms_packB_preinh,AMP_OSCILLATION,SYNC_OK,20 17 10 1,20 17 10 1,0.005263157894736842,,19,0,0.076742567510508591,unknown
EXP_span100ms_packC_gen,AMP_OSCILLATION,AMP_PENDING,20 17 10 1,20 17 10 1,0.005263157894736842,,19,1,0.0115,unknown
EXP_span100ms_packC_preinh,AMP_OSCILLATION,SYNC_OK,20 17 10 1,20 17 10 1,0.005263157894736842,,19,0,0.10000000000000001,unknown
EXP_span25ms_packA_gen,DONE,SYNC_OK,6 5 4 1,6 5 4 1,0.005,,7,0,0.08694018649194768,unknown
EXP_span25ms_packA_preinh,DONE,SYNC_OK,6 5 4 1,6 5 4 1,0.005,,7,0,0.051592749058011339,unknown
EXP_span25ms_packB_gen,AMP_OSCILLATION,SYNC_OK,6 5 4 1,6 5 4 1,0.005,,7,0,0.10000000000000001,unknown
EXP_span25ms_packB_preinh,AMP_OSCILLATION,SYNC_OK,6 5 4 1,6 5 4 1,0.005,,7,0,0.057532812542344297,unknown
EXP_span25ms_packC_gen,AMP_OSCILLATION,SYNC_OK,6 5 4 1,6 5 4 1,0.005,,7,0,0.086263157203758545,unknown
EXP_span25ms_packC_preinh,AMP_OSCILLATION,SYNC_OK,6 5 4 1,6 5 4 1,0.005,,7,0,0.036886548135291117,unknown
EXP_span50ms_packA_gen,DONE,SYNC_OK,11 9 7 1,11 9 7 1,0.005000003,,10,0,0.10000000000000001,unknown
EXP_span50ms_packA_preinh,DONE,SYNC_OK,11 9 6 1,11 9 6 1,0.005000003,,10,0,0.068065404222383316,unknown
EXP_span50ms_packB_gen,AMP_OSCILLATION,SYNC_OK,11 9 7 1,11 9 7 1,0.005000003,,10,0,0.089877161509392345,unknown
EXP_span50ms_packB_preinh,DONE,SYNC_OK,11 9 6 1,11 9 6 1,0.005000003,,10,0,0.056953387388589662,unknown
EXP_span50ms_packC_gen,AMP_OSCILLATION,AMP_PENDING,11 9 7 1,11 9 7 1,0.005000003,,10,1,0.0115,unknown
EXP_span50ms_packC_preinh,DONE,SYNC_OK,11 9 6 1,11 9 6 1,0.005000003,,10,0,0.034589821741626198,unknown
