exp,blocker,feasibility_verdict,L_actual,L_target,EstDelayPerSeg,iter_count,iter_budget_required,IsNeedToTrain,FixedLTZ,log_status
EXP_span100ms_packA_gen,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.0125,,10,1,0.0115,unknown
EXP_span100ms_packA_preinh,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.0125,,10,1,0.0115,unknown
EXP_span50ms_packA_gen,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.00625000375,,10,1,0.0115,unknown
EXP_span50ms_packA_preinh,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.00625000375,,10,1,0.0115,unknown
EXP_span25ms_packA_gen,LENGTH_STALL,TIMING_MISMATCH,6 5 1 1,6 5 3 1,0.0052083325,,7,1,0.0115,unknown
EXP_span25ms_packA_preinh,LENGTH_STALL,TIMING_MISMATCH,6 5 1 1,6 5 3 1,0.0052083325,,7,1,0.0115,unknown
EXP_span100ms_packB_gen,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.0125,,10,1,0.0115,unknown
EXP_span100ms_packB_preinh,LENGTH_STALL,TIMING_MISMATCH,20 17 10 1,20 17 11 1,0.005263157894736842,,19,1,0.0115,unknown
EXP_span50ms_packB_gen,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.00625000375,,10,1,0.0115,unknown
EXP_span50ms_packB_preinh,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.00625000375,,10,1,0.0115,unknown
EXP_span25ms_packB_gen,LENGTH_STALL,NEEDS_MORE_TIME,6 1 1 1,6 5 3 1,0.005,,7,1,0.0115,unknown
EXP_span25ms_packB_preinh,LENGTH_STALL,TIMING_MISMATCH,6 5 4 1,6 5 3 1,0.005,,7,1,0.0115,unknown
EXP_span100ms_packC_gen,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.0125,,10,1,0.0115,unknown
EXP_span100ms_packC_preinh,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.0125,,10,1,0.0115,unknown
EXP_span50ms_packC_gen,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.00625000375,,10,1,0.0115,unknown
EXP_span50ms_packC_preinh,LENGTH_STALL,NEEDS_MORE_TIME,9 1 1 1,9 8 5 1,0.00625000375,,10,1,0.0115,unknown
EXP_span25ms_packC_gen,LENGTH_STALL,NEEDS_MORE_TIME,6 1 1 1,6 5 3 1,0.005,,7,1,0.0115,unknown
EXP_span25ms_packC_preinh,LENGTH_STALL,TIMING_MISMATCH,6 5 4 1,6 5 3 1,0.005,,7,1,0.0115,unknown
