exp,stat_dir,iter,L,last_abs_dt,tip_R,no_improve,amp_dt
EXP_span25ms_packA_gen,2026.08.30 00-21-23,51,6.0 5.0 1.0 1.0,0.0024999999999999467 0.02084999999999985 0.013449999999999917 1.501,76874429.29448836 78618583.36582784 86000000.0 86000000.0,0.0 0.0 0.0 0.0,-1.485861767714201e+91 -1.2328225081568966e+86 0.09918194248980805 0.09918194248980783
EXP_span25ms_packA_gen,2026.08.30 01-02-43,103,6.0 5.0 4.0 1.0,0.0009499999999999162 0.0017833299999999164 0.0015500000000000826 1.501,58140762.05220889 49186593.35790795 75759505.23116921 86000000.0,2.0 0.0 0.0 0.0,0.09918194248980783 0.09918196178757532 -1.998919710538503e+165 0.09918194248981316
EXP_span25ms_packA_gen,2026.08.30 02-14-29,209,6.0 5.0 4.0 1.0,0.0008000000000265572 0.0017833299999661656 0.00030000000004975005 1.501,27747895.19406823 49186593.35790795 6173826820.511971 86000000.0,209.0 0.0 189.0 0.0,0.0008679650698796282 0.0991819617863352 -0.003920810912435679 0.0
EXP_span25ms_packA_gen,2026.08.30 03-52-37,419,6.0 5.0 4.0 1.0,0.0007999999999128704 0.0017833300000798524 0.0002499999998917708 1.501,729002421.912049 49186593.35790795 1000000.0 86000000.0,413.0 0.0 366.0 0.0,-0.0015553256872676835 0.0991819617863352 0.00456522914844415 0.0
EXP_span25ms_packA_preinh,2026.08.30 00-21-23,51,6.0 5.0 1.0 1.0,0.0031999999999998696 0.020850000000000073 0.0137 1.501,76874429.29448836 78618583.36582784 86000000.0 86000000.0,0.0 0.0 0.0 0.0,-1.460635595966936e+141 -2.2129837106384736e+135 0.049864003045150374 0.04986400304515026
EXP_span25ms_packA_preinh,2026.08.30 01-00-19,104,6.0 5.0 4.0 1.0,0.001875000000015687 0.0025733300000159685 0.0008000000000151879 1.501,60297638.09657438 62892821.62321345 100000000000.0 86000000.0,4.0 1.0 48.0 0.0,0.049864003040527516 0.049864012487936926 -37.197567503358975 0.0
EXP_span25ms_packA_preinh,2026.08.30 02-09-57,209,6.0 5.0 4.0 1.0,0.0007500000000391083 0.002033329999960254 0.0002500000000623011 1.501,45037564.618721716 62892821.62321345 6580471.035524959 86000000.0,209.0 0.0 133.0 0.0,0.0001720671719990241 0.04986401249769523 0.004660825394958823 0.0
EXP_span25ms_packA_preinh,2026.08.30 03-50-41,419,6.0 5.0 4.0 1.0,0.0007500000000391083 0.0020333300000170973 0.00025000000000545766 1.501,20613180699.48581 62892821.62321345 100000000000.0 86000000.0,417.0 0.0 405.0 0.0,-0.0017789358467935612 0.04986401249769523 -0.0038864313442974474 0.0
EXP_span100ms_packA_preinh,2026.08.30 00-21-23,48,9.0 1.0 1.0 1.0,0.0662499999999997 0.08453329999999995 0.051199999999999954 1.501,71870716.86569329 86000000.0 86000000.0 86000000.0,0.0 0.0 0.0 0.0,-1.2370773243215721e+151 0.04986400304515026 0.04986400304515026 0.04986400304515026
EXP_span100ms_packA_preinh,2026.08.30 01-00-01,98,9.0 9.0 1.0 1.0,0.0612000000000004 0.049800000000000316 0.0512000000000004 1.501,71870716.86569329 71870716.86569329 86000000.0 86000000.0,0.0 0.0 0.0 0.0,0.04986400304515026 -3.0006202665994018e+292 0.04986400304515559 0.04986400304515559
EXP_span100ms_packA_preinh,2026.08.30 02-16-59,198,9.0 17.0 1.0 1.0,0.0612000000000004 0.009750000000000397 0.0512000000000004 1.501,71870716.86569329 56059357.35266454 86000000.0 86000000.0,0.0 0.0 0.0 0.0,0.04986400304515026 0.04986400304515559 0.04986400304515559 0.04986400304515559
EXP_span100ms_packA_preinh,2026.08.30 04-15-37,398,9.0 17.0 12.0 1.0,0.06120000000000573 0.004533300000005722 0.016800000000029056 1.501,71870716.86569329 39405964.3747568 69035762.52726947 86000000.0,0.0 0.0 0.0 0.0,0.04986400304515026 0.04986400304515559 0.04986400304515559 0.04986400304515559
