exp,case,SyncTolerance,PeakMeasureMargin,EstDelayPerSeg,all_sync_ok_trace,all_sync_ok_model,L_hypothesis
EXP_span25ms_packA_gen,tol_x1,0.00104167,0.002,0.0052083325,False,False,
EXP_span25ms_packA_gen,tol_x1.25,0.0013020875,0.002,0.0052083325,False,False,
EXP_span25ms_packA_gen,tol_x1.5,0.001562505,0.002,0.0052083325,False,False,
EXP_span25ms_packA_gen,tol_x2,0.00208334,0.002,0.0052083325,False,True,
EXP_span25ms_packA_gen,margin_x0.75,0.00104167,0.0015,0.0052083325,False,False,
EXP_span25ms_packA_gen,margin_x1,0.00104167,0.002,0.0052083325,False,False,
EXP_span25ms_packA_gen,margin_x1.5,0.00104167,0.003,0.0052083325,False,False,
EXP_span25ms_packA_gen,est_0.005,0.00104167,0.002,0.005,False,False,
EXP_span25ms_packA_gen,est_0.0052,0.00104167,0.002,0.0052,False,False,
EXP_span25ms_packA_gen,L_dend2=3_est_0.00520833,0.00104167,0.002,0.0052083325,,False,6 5 3 1
EXP_span25ms_packA_gen,L_dend2=3_est_0.005,0.00104167,0.002,0.005,,False,6 5 3 1
EXP_span25ms_packA_gen,L_dend2=4_est_0.00520833,0.00104167,0.002,0.0052083325,,False,6 5 4 1
EXP_span25ms_packA_gen,L_dend2=4_est_0.005,0.00104167,0.002,0.005,,False,6 5 4 1
EXP_span25ms_packA_gen,L_dend2=5_est_0.00520833,0.00104167,0.002,0.0052083325,,False,6 5 5 1
EXP_span25ms_packA_gen,L_dend2=5_est_0.005,0.00104167,0.002,0.005,,False,6 5 5 1
EXP_span25ms_packA_preinh,tol_x1,0.00104167,0.002,0.005,False,False,
EXP_span25ms_packA_preinh,tol_x1.25,0.0013020875,0.002,0.005,False,False,
EXP_span25ms_packA_preinh,tol_x1.5,0.001562505,0.002,0.005,False,False,
EXP_span25ms_packA_preinh,tol_x2,0.00208334,0.002,0.005,True,False,
EXP_span25ms_packA_preinh,margin_x0.75,0.00104167,0.0015,0.005,False,False,
EXP_span25ms_packA_preinh,margin_x1,0.00104167,0.002,0.005,False,False,
EXP_span25ms_packA_preinh,margin_x1.5,0.00104167,0.003,0.005,False,False,
EXP_span25ms_packA_preinh,est_0.005,0.00104167,0.002,0.005,False,False,
EXP_span25ms_packA_preinh,est_0.0052,0.00104167,0.002,0.0052,False,False,
EXP_span25ms_packA_preinh,L_dend2=3_est_0.005,0.00104167,0.002,0.005,,False,6 5 3 1
EXP_span25ms_packA_preinh,L_dend2=3_est_0.005,0.00104167,0.002,0.005,,False,6 5 3 1
EXP_span25ms_packA_preinh,L_dend2=4_est_0.005,0.00104167,0.002,0.005,,False,6 5 4 1
EXP_span25ms_packA_preinh,L_dend2=4_est_0.005,0.00104167,0.002,0.005,,False,6 5 4 1
EXP_span25ms_packA_preinh,L_dend2=5_est_0.005,0.00104167,0.002,0.005,,False,6 5 5 1
EXP_span25ms_packA_preinh,L_dend2=5_est_0.005,0.00104167,0.002,0.005,,False,6 5 5 1
EXP_span100ms_packA_preinh,tol_x1,0.00416667,0.00583333,0.00520833125,False,False,
EXP_span100ms_packA_preinh,tol_x1.25,0.0052083375,0.00583333,0.00520833125,False,False,
EXP_span100ms_packA_preinh,tol_x1.5,0.0062500049999999994,0.00583333,0.00520833125,False,False,
EXP_span100ms_packA_preinh,tol_x2,0.00833334,0.00583333,0.00520833125,False,False,
EXP_span100ms_packA_preinh,margin_x0.75,0.00416667,0.0043749975,0.00520833125,False,False,
EXP_span100ms_packA_preinh,margin_x1,0.00416667,0.00583333,0.00520833125,False,False,
EXP_span100ms_packA_preinh,margin_x1.5,0.00416667,0.008749995,0.00520833125,False,False,
EXP_span100ms_packA_preinh,est_0.005,0.00416667,0.00583333,0.005,False,False,
EXP_span100ms_packA_preinh,est_0.0052,0.00416667,0.00583333,0.0052,False,False,
EXP_span100ms_packA_preinh,L_dend2=3_est_0.00520833,0.00416667,0.00583333,0.00520833125,,False,9 17 3 1
EXP_span100ms_packA_preinh,L_dend2=3_est_0.005,0.00416667,0.00583333,0.005,,False,9 17 3 1
EXP_span100ms_packA_preinh,L_dend2=4_est_0.00520833,0.00416667,0.00583333,0.00520833125,,False,9 17 4 1
EXP_span100ms_packA_preinh,L_dend2=4_est_0.005,0.00416667,0.00583333,0.005,,False,9 17 4 1
EXP_span100ms_packA_preinh,L_dend2=5_est_0.00520833,0.00416667,0.00583333,0.00520833125,,False,9 17 5 1
EXP_span100ms_packA_preinh,L_dend2=5_est_0.005,0.00416667,0.00583333,0.005,,False,9 17 5 1
