kind,name,test_rel,acc,target,mode,fires,ok_audit,head,rc,err,sim_t,elapsed_s,console_sha16,utc
MAIN,EXP_span100ms_packA_gen,SelectivityAsymRm/EXP_span100ms_packA_gen/Test,8/8,да,selective,10000000,1,PASS,-15,sigterm_csv8,120.0,1357.7,4917a2bcbac318d1,20260925T132051Z
MAIN,EXP_span100ms_packA_preinh,SelectivityAsymRm/EXP_span100ms_packA_preinh/Test,8/8,да,selective,10000000,1,PASS,-15,sigterm_csv8,120.0,1353.7,4917a2bcbac318d1,20260925T132049Z
MAIN,EXP_span100ms_packB_gen,SelectivityAsymRm/EXP_span100ms_packB_gen/Test,8/8,да,selective,10000000,1,PASS,-15,sigterm_csv8,120.0,1357.7,4917a2bcbac318d1,20260925T133820Z
MAIN,EXP_span100ms_packB_preinh_C1e9,SelectivityAsymRm/EXP_span100ms_packB_preinh_C1e9/Test,8/8,да,selective,10000000,1,PASS,-15,sigterm_csv8,120.0,1355.7,4917a2bcbac318d1,20260925T134325Z
MAIN,EXP_span100ms_packC_gen,SelectivityAsymRm/EXP_span100ms_packC_gen/Test,8/8,да,selective,10000000,1,PASS,-15,sigterm_csv8,120.0,1361.7,4917a2bcbac318d1,20260925T133844Z
MAIN,EXP_span100ms_packC_preinh_C1e9,SelectivityAsymRm/EXP_span100ms_packC_preinh_C1e9/Test,8/8,да,selective,10000000,1,PASS,-15,sigterm_csv8,120.0,1351.7,4917a2bcbac318d1,20260925T134323Z
MAIN,EXP_span25ms_packA_gen,SelectivityAsymRm/EXP_span25ms_packA_gen/Test,8/8,да,selective,10000000,1,PASS,,from_log,,,4917a2bcbac318d1,
MAIN,EXP_span25ms_packA_preinh,SelectivityAsymRm/EXP_span25ms_packA_preinh/Test,8/8,да,selective,10000000,1,PASS,,from_log,,,4917a2bcbac318d1,
MAIN,EXP_span25ms_packB_gen,SelectivityAsymRm/EXP_span25ms_packB_gen/Test,8/8,да,selective,10000000,1,PASS,,from_log,,,4917a2bcbac318d1,
MAIN,EXP_span25ms_packB_preinh_C1e9,SelectivityAsymRm/EXP_span25ms_packB_preinh_C1e9/Test,8/8,да,selective,10000000,1,PASS,,from_log,,,4917a2bcbac318d1,
MAIN,EXP_span25ms_packC_gen,SelectivityAsymRm/EXP_span25ms_packC_gen/Test,8/8,да,selective,10000000,1,PASS,,from_log,,,4917a2bcbac318d1,
MAIN,EXP_span25ms_packC_preinh_C1e9,SelectivityAsymRm/EXP_span25ms_packC_preinh_C1e9/Test,8/8,да,selective,10000000,1,PASS,,from_log,,,4917a2bcbac318d1,
