rel_path	size_bytes	archive	status
TimeNeuronTimeLearnerBranch_NextSegInh/Train/StatisticLog	208407537	TLBranchNextSeg__Train__StatisticLog.tar.gz	dry_run
SelectivityBranch/EXP_br480_nextseginh_tiprmin/Train/StatisticLog	208407537	Branch__EXP_br480_nextseginh_tiprmin__Train__StatisticLog.tar.gz	dry_run
SelectivityFastResponse/EXPD002C1e9/Train/StatisticLog	202170590	FastResponse__EXPD002C1e9__Train__StatisticLog.tar.gz	dry_run
SelectivityFastResponse/EXPD002C25e11/Train/StatisticLog	197672950	FastResponse__EXPD002C25e11__Train__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_gen/Train/StatisticLog	193927362	LtzCal__AsymRmLtzCalBranch__EXP_branch_span50_packA_gen__Train__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_preinh/Train/StatisticLog	190521699	LtzCal__AsymRmLtzCalBranch__EXP_branch_span25_packA_preinh__Train__StatisticLog.tar.gz	dry_run
SelectivityFastSpan/EXP_span100ms_fast_preinh_C1e9/Test/StatisticLog	189764565	FastSpan__EXP_span100ms_fast_preinh_C1e9__Test__StatisticLog.tar.gz	dry_run
SelectivityFastSpan/EXP_span100ms_fast_C1e9/Test/StatisticLog	189527167	FastSpan__EXP_span100ms_fast_C1e9__Test__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_preinh/Train/StatisticLog	189228399	LtzCal__AsymRmLtzCalBranch__EXP_branch_span100_packA_preinh__Train__StatisticLog.tar.gz	dry_run
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_gen/Train/StatisticLog	189111524	LtzCal__AsymRmLtzCalBranch__EXP_branch_span100_packA_gen__Train__StatisticLog.tar.gz	dry_run
SelectivityAsymRm/EXP_span50ms_packC_preinh/Test/StatisticLog	185964199	AsymRm__EXP_span50ms_packC_preinh__Test__StatisticLog.tar.gz	dry_run
